12561 10
8150 0 1
5165 0 1
9114 3 1
10458 5 1
11658 0 1
8929 0 1
2294 0 5
333 0 5
6564 0 9
7931 0 1
5970 0 1
8520 0 7
4418 1 1
6530 3 1
1817 3 1
11455 0 9
9494 0 1
2843 0 1
114 0 3
6345 0 1
4384 0 4
7274 5 1
10936 6 1
11421 1 1
12260 0 1
9275 0 32
2624 0 3
679 0 1
7166 0 1
4181 0 5
1580 4 1
12226 3 1
2606 3 1
1694 4 1
4062 6 1
10674 0 1
11785 0 1
9047 5 1
3445 0 1
1484 0 1
6691 0 1
4986 0 8
6141 0 1
10471 0 2
8510 0 1
3994 0 4
1265 0 1
7496 0 1
5551 0 2
11207 5 1
8095 3 2
6861 3 1
4900 5 1
3791 0 1
1830 0 1
7293 0 14
5332 0 1
10801 0 1
4681 3 1
12358 0 1
2205 0 8
500 0 1
1611 0 1
7842 0 1
6137 0 1
676 3 1
9695 3 1
9757 4 1
7339 6 1
10957 0 1
10264 5 1
11622 0 3
9661 0 12
3010 0 8
25 0 1
6512 0 1
4567 0 1
5678 0 16
1481 5 1
3408 2 1
12171 0 7
9442 0 1
2807 0 1
846 0 1
7077 0 3
4348 0 15
2958 2 1
6929 9 1
6389 9 1
6426 5 1
7793 3 1
10007 0 4
3356 0 8
627 0 1
6858 0 2
4897 0 22
12132 0 1
3788 3 1
4171 3 1
2705 3 1
10382 0 2
8677 0 1
9788 0 18
3137 0 1
1176 0 6
7679 0 1
4694 0 1
6806 2 1
7160 6 1
1158 3 1
9075 2 1
1590 6 1
11187 0 1
8202 0 14
3958 0 6
1997 0 1
7204 0 2
5499 0 1
12303 3 1
3492 4 1
7170 3 1
7955 3 1
10968 0 14
9023 0 19
12525 0 1
2372 0 1
411 0 1
1778 0 1
8009 0 11
6048 0 2
2804 3 1
11567 3 2
2955 3 1
10950 3 1
3387 4 1
4213 6 1
11533 0 1
8804 0 8
2153 0 9
192 0 1
6439 0 1
7806 0 11
5845 0 1
3168 4 1
174 3 1
6540 0 1
11314 0 1
9353 0 2
2718 0 7
1013 0 2
6220 0 1
4259 0 1
140 6 1
12135 0 1
10174 0 1
3523 0 1
538 0 1
7025 0 9
5064 0 1
945 2 1
10583 3 1
5496 3 1
5046 3 1
3317 0 20
10549 0 23
4429 3 1
9955 0 19
3304 0 2
1359 0 1
7590 0 1
9020 3 1
5012 6 1
9017 5 1
3286 3 1
2669 3 1
10330 0 1
8369 0 1
3869 0 1
1140 0 1
7371 0 1
5410 0 36
3252 6 1
9693 6 1
10895 0 2
9190 0 2
12436 0 1
2539 0 35
3650 0 1
1689 0 5
8176 0 20
5207 0 7
4256 3 1
11700 0 23
8715 0 1
2064 0 2
375 0 9
6606 0 1
7717 0 11
6012 0 2
2919 3 1
11666 3 1
11481 0 1
9520 0 21
2885 0 9
924 0 21
6387 0 2
4426 0 16
10119 3 3
8453 6 1
5441 4 1
12046 0 1
9317 0 25
2666 0 8
705 0 1
1807 5 1
4223 0 2
6918 3 1
5238 4 1
10716 0 6
11827 0 1
9866 0 1
3231 0 2
1526 0 19
6733 0 1
4772 0 1
10275 3 1
8570 1 1
10682 3 1
7250 3 1
7106 5 1
4121 3 1
4036 0 6
1051 0 2
7538 0 8
5577 0 12
11565 6 1
11062 0 1
9101 0 8
2450 0 28
3817 0 1
1856 0 1
8103 0 1
5374 0 2
5525 2 1
736 4 1
9817 3 3
1221 3 1
10843 0 9
8882 0 1
12384 0 1
2247 0 2
286 0 2
1653 0 1
7884 0 1
5923 0 1
12551 6 1
3148 4 1
12366 3 1
7233 3 1
9703 0 4
3052 0 2
67 0 14
6298 0 2
4593 0 1
5704 0 23
8328 6 1
3018 3 1
7313 4 1
4637 6 1
12213 0 1
9228 0 1
2577 0 4
872 0 1
7119 0 1
4134 0 1
9601 3 1
10627 0 1
11994 0 1
10033 0 19
3398 0 1
1437 0 1
6900 0 2
4939 0 4
8189 0 2
8100 3 1
8570 2 1
10408 0 1
8463 0 1
9830 0 26
3179 0 3
1218 0 11
7449 0 1
4720 0 1
8133 3 1
9478 4 1
11229 0 1
8244 0 1
3728 0 1
2039 0 4
7246 0 1
5285 0 6
3127 6 1
4668 6 1
10754 0 1
9049 0 1
12311 0 1
2414 0 1
453 0 1
1564 0 1
8051 0 1
6519 0 3
7249 0 18
6499 3 1
10117 6 1
11575 0 1
9614 0 4
2963 0 9
234 0 9
6465 0 5
4504 0 1
5887 0 1
4936 3 1
11541 1 1
5421 4 1
5720 3 1
12465 3 1
7965 3 1
9395 0 4
2744 0 7
799 0 1
6262 0 1
4301 0 1
12031 5 1
11322 3 1
5202 4 1
2726 3 1
1814 4 1
11905 0 1
10200 0 1
3565 0 2
580 0 1
6811 0 1
5106 0 1
9775 3 1
10591 0 1
8630 0 29
9741 0 1
3090 0 1
1385 0 1
7616 0 4
4647 0 21
2587 6 1
7191 3 2
7598 3 1
6981 3 1
8411 0 1
3911 0 1
1950 0 1
7413 0 1
5452 0 1
7564 6 1
10338 3 1
830 4 1
10921 0 1
4801 3 1
12478 0 12
2325 0 3
3692 0 1
1731 0 4
7962 0 1
5233 0 1
8325 3 1
11742 0 22
8757 0 1
2106 0 4
145 0 2
6632 0 1
7759 0 21
5798 0 1
6808 3 1
8602 4 1
9130 5 1
10474 7 1
9562 0 6
2927 0 10
966 0 16
6173 0 4
4468 0 6
8098 4 1
12072 0 1
10127 0 1
3476 0 3
747 0 1
6978 0 14
5017 0 1
3908 3 1
3291 3 1
12546 6 1
11437 3 1
10502 0 1
8822 5 1
9908 0 1
3257 0 10
1296 0 1
6775 0 1
4814 0 1
9257 3 1
7148 5 1
8322 0 1
4078 0 1
1093 0 20
7324 0 1
5619 0 1
11915 6 1
8163 3 3
11088 0 1
9143 0 1
2492 0 27
3603 0 2
1898 0 1
8129 0 20
5144 0 1
2924 3 1
1025 2 1
9684 3 1
11502 6 1
11653 0 1
8924 0 1
2273 0 3
312 0 2
6559 0 1
7926 0 24
5965 0 1
7201 3 1
11258 5 1
11434 0 38
9473 0 2
2838 0 2
109 0 26
6340 0 1
4379 0 16
5746 0 17
12255 0 1
9270 0 3
2619 0 23
658 0 1
7145 0 7
4160 0 2
10340 3 1
12306 4 1
12221 1 1
4142 3 1
10669 0 1
11780 0 1
10075 0 2
3424 0 10
1479 0 1
6686 0 2
4981 0 2
2567 6 1
6476 4 1
10450 0 1
8489 0 1
3989 0 1
1260 0 1
7491 0 1
5530 0 3
1843 3 1
9838 3 1
1226 3 1
11015 0 2
8286 0 1
12556 0 1
3770 0 1
1809 0 1
7272 0 1
5327 0 5
4685 0 1
3267 6 1
10796 0 7
8835 0 1
12337 0 2
2184 0 1
495 0 1
1606 0 1
7837 0 1
6132 0 1
2616 3 1
3039 3 2
7186 5 1
9640 0 1
3005 0 1
20 0 8
6507 0 1
4546 0 1
5657 0 11
5463 4 1
5561 4 1
12166 0 1
9437 0 1
2786 0 1
825 0 1
7056 0 1
4343 0 17
11947 0 1
9986 0 1
3351 0 30
622 0 1
6853 0 1
4892 0 1
4707 3 2
1674 6 1
10617 0 20
8656 0 1
9783 0 11
3132 0 3
1171 0 1
7658 0 23
4673 0 1
9070 6 1
11182 0 1
8197 0 1
3937 0 1
1976 0 6
4136 5 1
5494 0 30
1685 5 1
6504 3 1
10122 4 1
856 4 1
6486 6 1
10963 0 1
9002 0 1
12504 0 1
2367 0 1
406 0 1
1773 0 1
8004 0 8
6043 0 12
11546 1 1
4491 3 1
11768 0 1
8799 0 1
2148 0 1
187 0 3
6418 0 1
7785 0 6
5824 0 1
3348 3 1
10392 4 1
11309 0 3
9348 0 1
2697 0 1
992 0 6
6215 0 2
4254 0 1
1168 3 1
8953 3 1
10908 5 1
10153 0 1
3518 0 2
533 0 1
7020 0 2
5059 0 1
10562 1 1
5491 5 1
6554 4 1
10528 0 1
8583 0 4
9950 0 1
3299 0 31
1338 0 1
10960 3 1
4840 0 1
2364 3 1
10325 0 1
8364 0 1
3848 0 1
1135 0 1
7366 0 2
5405 0 3
3679 3 1
669 4 1
7156 4 1
4086 3 1
166 6 1
11130 0 1
9169 0 3
5200 4 1
12431 0 15
2534 0 2
3645 0 3
1684 0 1
8171 0 1
5186 0 13
4052 6 1
6212 3 1
11923 3 1
11517 0 1
2562 6 1
11695 0 15
8710 0 1
2059 0 1
354 0 1
6585 0 1
7696 0 19
6007 0 12
5685 3 1
7934 3 2
11306 3 1
9648 4 1
11158 5 1
8085 3 1
9515 0 1
2864 0 7
919 0 1
6382 0 2
4421 0 2
3296 3 1
1437 5 1
8395 4 1
2846 3 1
4387 1 1
5754 3 1
3278 6 1
12281 0 8
9296 0 9
2661 0 28
700 0 1
6931 0 1
4202 0 2
1132 3 2
10807 4 1
9278 3 1
2627 1 1
1715 4 1
5217 4 1
9685 3 1
10711 0 1
11822 0 1
9861 0 2
3210 0 1
1505 0 1
6712 0 3
4767 0 1
12428 3 1
8168 3 1
10492 0 1
8531 0 8
4031 0 9
1046 0 1
7533 0 1
5572 0 1
8225 5 1
836 4 1
4338 4 1
11041 0 1
8312 0 1
2445 0 30
3812 0 1
1851 0 1
8082 0 1
5353 0 1
3778 3 1
3161 3 1
10838 0 2
8877 0 1
12379 0 1
2226 0 1
265 0 5
1632 0 1
7879 0 1
5918 0 1
6125 3 1
8226 5 1
11643 0 3
9682 0 1
3047 0 1
62 0 22
6293 0 1
4588 0 1
5699 0 9
4147 3 1
12192 0 13
9223 0 1
2572 0 1
867 0 1
7098 0 21
4113 0 1
5471 5 1
47 6 1
2794 3 1
8113 4 1
11557 3 1
11989 0 1
10028 0 21
3377 0 30
1416 0 1
6895 0 1
4934 0 1
8665 6 1
7796 4 1
781 3 1
10403 0 1
8698 0 1
9809 0 3
2125 5 1
1213 0 1
7444 0 1
4715 0 1
7981 0 1
8840 2 1
11208 0 1
8239 0 3
3723 0 1
2018 0 4
7225 0 1
5264 0 2
10573 3 1
11005 0 1
9044 0 1
12290 0 2
2393 0 33
432 0 1
1559 0 1
8046 0 19
6085 0 1
864 3 1
8578 4 1
8393 3 1
4348 2 1
8825 0 10
2958 0 3
229 0 1
6460 0 1
4499 0 1
5866 0 1
8065 0 1
6892 3 1
6426 3 1
627 2 1
11351 0 2
9390 0 2
2739 0 5
778 0 1
6241 0 1
4280 0 12
9180 4 1
5197 4 1
12156 0 25
10195 0 1
3544 0 3
575 0 1
6806 0 1
5101 0 1
8643 3 1
3119 3 1
9075 4 1
10570 0 1
8609 0 1
9976 0 1
3085 0 5
1380 0 1
7611 0 1
4626 0 1
11556 3 1
1556 3 1
3458 5 1
10367 0 1
8406 0 1
3890 0 1
1929 0 1
7392 0 13
5447 0 1
9924 6 1
10950 1 1
10916 0 3
9211 0 1
12457 0 3
2304 0 20
3687 0 1
1726 0 1
11348 3 1
5228 0 15
2736 3 1
3221 4 1
4762 4 1
7306 5 1
8736 0 1
2101 0 1
140 0 1
6627 0 1
7738 0 1
5777 0 1
5901 0 1
8640 4 1
10469 5 1
9557 0 1
2906 0 8
945 0 1
6152 0 1
4463 0 1
6390 3 1
12067 0 2
9338 0 1
6381 3 1
3471 0 1
742 0 21
6973 0 1
5012 0 12
5444 3 1
1112 6 1
10737 0 16
11848 0 1
9903 0 1
3252 0 15
1291 0 1
6754 0 3
12271 6 1
4633 3 1
4091 3 1
3218 3 1
2601 3 1
10278 0 2
9366 5 1
4057 0 1
1072 0 1
7319 0 1
5614 0 3
6800 6 1
11586 6 1
5642 6 1
11083 0 1
9122 0 1
2487 0 1
3598 0 2
1893 0 1
8124 0 12
5139 0 1
4885 3 1
5435 3 2
10864 0 1
8919 0 1
2268 0 10
307 0 5
6538 0 1
7905 0 1
5944 0 1
10097 5 1
11429 0 2
9724 0 2
2817 0 1
88 0 1
6335 0 12
4374 0 17
5741 0 20
8234 4 1
8991 5 1
7350 4 1
12234 0 1
9249 0 17
2614 0 1
653 0 20
7140 0 1
4155 0 3
1554 4 1
9153 4 1
10648 0 1
5577 6 1
10070 0 25
3419 0 1
1458 0 1
6665 0 1
4960 0 3
11512 6 1
6471 4 1
5559 3 1
10445 0 2
4325 3 1
9851 0 1
3968 0 6
1255 0 1
6437 5 1
5525 0 22
6869 2 1
9817 1 1
78 6 1
3333 3 1
11250 0 1
8265 0 2
7111 4 1
12551 0 19
3765 0 2
1804 0 1
7267 0 1
5306 0 3
6332 3 1
1619 3 1
7233 1 1
1153 3 1
4593 6 1
9086 0 1
12332 0 1
2179 0 1
474 0 1
1585 0 1
7816 0 1
6127 0 4
7842 3 1
12298 3 1
9228 2 1
2577 6 1
11596 0 1
9635 0 1
2984 0 2
15 0 1
6502 0 1
4541 0 1
5652 0 1
12179 3 1
2815 3 1
5442 4 1
2966 3 1
11377 0 8
9416 0 1
2781 0 10
820 0 1
7051 0 1
4322 0 1
9848 3 2
4385 3 1
9181 0 3
3429 5 1
786 3 1
11942 0 1
10237 0 3
3330 0 3
601 0 1
6832 0 4
4887 0 1
9364 6 1
6778 0 3
4864 5 1
7264 3 1
9796 1 1
1616 4 1
1669 6 1
10612 0 1
8651 0 1
9762 0 2
3127 0 5
1166 0 1
7653 0 2
4668 0 1
956 4 1
10578 3 2
5251 3 1
11161 0 2
5041 3 1
3932 0 1
1971 0 1
7178 0 28
5473 0 2
9031 3 1
12176 4 1
3360 0 3
6465 6 1
10958 0 28
8997 0 28
12499 0 9
2346 0 4
385 0 1
1752 0 2
7999 0 1
6038 0 6
1151 6 1
4536 0 1
3263 4 1
632 4 1
11763 0 1
8778 0 1
2143 0 1
182 0 1
6413 0 21
7780 0 1
5819 0 1
12447 6 1
3158 4 1
7746 3 2
6811 2 1
10255 5 1
9599 0 4
2692 0 6
987 0 18
6194 0 1
4233 0 1
12056 0 1
12143 3 2
10477 6 1
7209 4 1
5557 6 1
11526 6 1
12109 0 1
10148 0 1
3497 0 1
512 0 1
7015 0 1
5054 0 10
3312 1 1
7916 4 1
750 3 1
10523 0 1
11890 0 1
9929 0 2
3294 0 1
1333 0 1
7564 0 5
4835 0 2
12496 3 1
7996 3 1
10304 0 1
8359 0 5
3843 0 1
1114 0 1
7345 0 1
5384 0 2
10286 3 1
145 6 1
11125 0 1
9164 0 1
2513 0 1
3624 0 1
1679 0 1
8166 0 5
5181 0 1
4047 6 1
8048 0 1
4698 0 1
11674 0 1
8945 0 1
2054 0 1
349 0 8
6580 0 1
7691 0 2
5986 0 1
7595 4 1
11471 0 1
9510 0 1
2859 0 1
898 0 16
6361 0 32
4400 0 2
4382 3 1
3257 6 1
12276 0 1
9291 0 25
2640 0 3
695 0 1
6926 0 1
4197 0 1
4417 0 2
1596 4 1
12242 3 1
1710 4 1
10690 0 1
11801 0 1
10096 0 2
3205 0 1
1500 0 16
6707 0 1
4746 0 1
2588 6 1
9029 6 1
1466 3 1
9143 2 1
10487 0 1
8526 0 2
963 7 1
1025 0 1
